General y Grupos ECOICOP ver.2;Tipo de dato;Periodo;Total
01 Alimentos y bebidas no alcohólicas;Variación mensual;2026M05;""
01 Alimentos y bebidas no alcohólicas;Variación mensual;2026M04;0,2
01 Alimentos y bebidas no alcohólicas;Variación mensual;2026M03;-0,2
01 Alimentos y bebidas no alcohólicas;Variación mensual;2026M02;0,6
01 Alimentos y bebidas no alcohólicas;Variación mensual;2026M01;0,6
01 Alimentos y bebidas no alcohólicas;Variación mensual;2025M12;0,2
01 Alimentos y bebidas no alcohólicas;Variación mensual;2025M11;0,3
01 Alimentos y bebidas no alcohólicas;Variación mensual;2025M10;1,4
01 Alimentos y bebidas no alcohólicas;Variación mensual;2025M09;-0,1
01 Alimentos y bebidas no alcohólicas;Variación mensual;2025M08;-0,8
01 Alimentos y bebidas no alcohólicas;Variación mensual;2025M07;-0,4
01 Alimentos y bebidas no alcohólicas;Variación mensual;2025M06;0,3
01 Alimentos y bebidas no alcohólicas;Variación mensual;2025M05;0,5
01 Alimentos y bebidas no alcohólicas;Variación mensual;2025M04;0,3
01 Alimentos y bebidas no alcohólicas;Variación mensual;2025M03;0,3
01 Alimentos y bebidas no alcohólicas;Variación mensual;2025M02;0,3
01 Alimentos y bebidas no alcohólicas;Variación mensual;2025M01;0,6
01 Alimentos y bebidas no alcohólicas;Variación mensual;2024M12;0,0
01 Alimentos y bebidas no alcohólicas;Variación mensual;2024M11;-0,1
01 Alimentos y bebidas no alcohólicas;Variación mensual;2024M10;1,4
01 Alimentos y bebidas no alcohólicas;Variación mensual;2024M09;-0,3
01 Alimentos y bebidas no alcohólicas;Variación mensual;2024M08;-0,4
01 Alimentos y bebidas no alcohólicas;Variación mensual;2024M07;-0,3
01 Alimentos y bebidas no alcohólicas;Variación mensual;2024M06;0,1
01 Alimentos y bebidas no alcohólicas;Variación mensual;2024M05;0,0
01 Alimentos y bebidas no alcohólicas;Variación mensual;2024M04;0,7
01 Alimentos y bebidas no alcohólicas;Variación mensual;2024M03;0,1
01 Alimentos y bebidas no alcohólicas;Variación mensual;2024M02;0,0
01 Alimentos y bebidas no alcohólicas;Variación mensual;2024M01;0,5
01 Alimentos y bebidas no alcohólicas;Variación mensual;2023M12;0,0
01 Alimentos y bebidas no alcohólicas;Variación mensual;2023M11;0,1
